Series Name,Series Code,Country Name,Country Code,2000,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,Afghanistan,AFG,-2.440187,-2.690477,-2.712689,-2.579152,-2.50206,-2.418561,-2.519349,-2.411068,-2.571222,-2.671054,-2.780772
Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,Albania,ALB,-0.5379785,-0.0308189,-0.0452486,-0.1914829,-0.2823794,-0.1436316,0.0919298,0.4859862,0.3461291,0.3446447,0.3976249
Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,Algeria,DZA,-1.43201,-1.093989,-1.197078,-1.259368,-1.360561,-1.325043,-1.202371,-1.190535,-1.09016,-1.097526,-0.9602967
Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,American Samoa,ASM,..,0.9841928,0.9456341,0.9191467,0.9339902,0.9529908,0.9289858,1.080683,1.181357,1.193236,1.229893
Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,Andorra,AND,1.167002,1.337765,1.296418,1.278272,1.302488,1.290351,1.283926,1.286593,1.391288,1.413419,1.449709
Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,Angola,AGO,-2.035583,-0.3629115,-0.3472624,-0.2261823,-0.3692378,-0.3893225,-0.3912335,-0.333232,-0.5008978,-0.3158988,-0.2946258
Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,Anguilla,AIA,..,1.116136,0.8700855,1.373762,1.550928,1.47692,1.53398,1.164255,1.249272,1.315344,1.362509
Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,Antigua and Barbuda,ATG,0.7141891,0.8139328,0.7213244,0.9049994,0.9575883,0.9757881,0.9588634,0.9845507,1.004725,0.8786072,0.7588617
Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,Argentina,ARG,0.0993588,-0.0852222,-0.2324056,-0.0847979,0.1589937,0.1030405,0.0653143,-0.0051219,0.0147854,0.2046255,0.1755473
Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,Armenia,ARM,-0.6835883,-0.0093653,0.2277748,0.0718553,-0.063869,0.154795,0.1103851,-0.2971358,-0.2523326,-0.6622638,-0.7054557
Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,Aruba,ABW,..,1.319141,1.122499,1.100847,1.285738,1.263882,1.312226,1.164568,1.230921,1.284199,1.318649
Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,Australia,AUS,1.334552,0.9556448,0.855689,0.8888599,0.9357101,0.9979972,1.031073,1.032192,0.8849798,1.047958,0.8962889
Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,Austria,AUT,0.8238267,1.339206,1.190602,1.152648,1.193522,1.340567,1.364101,1.2707,1.143079,0.9096388,1.036315
Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,Azerbaijan,AZE,-0.8301941,-0.3334748,-0.2759402,-0.2385469,-0.532136,-0.7157518,-0.4128599,-0.5599095,-0.7295656,-0.8038791,-0.7603872
Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,"Bahamas, The",BHS,1.280098,0.7748387,0.8605515,0.9936922,1.103621,1.184026,1.134825,0.9564701,0.9074765,0.9754187,0.9979036
Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,Bahrain,BHR,0.055774,-0.2374032,-0.1364494,-0.4934764,-0.9508419,-1.129955,-1.335418,-0.9074749,-1.07354,-0.7934257,-0.9481785
Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,Bangladesh,BGD,-0.7245092,-1.505937,-1.544713,-1.425789,-1.404737,-1.379089,-1.627859,-0.8955632,-1.212018,-1.261937,-1.249297
Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,Barbados,BRB,1.150208,1.070772,1.048899,1.060637,1.24613,1.185966,1.266929,1.27792,1.135361,0.9766099,0.9764111
Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,Belarus,BLR,0.1386712,0.5184895,0.4887801,-0.0949901,-0.087769,0.0686152,0.0059592,0.1797822,0.1100165,0.1422815,0.0265175
Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,Belgium,BEL,1.130377,0.6212433,0.819909,0.8106462,0.9545354,0.9235997,0.9400827,0.7012694,0.5870946,0.4413673,0.4236702
Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,Belize,BLZ,0.1828827,0.1879595,0.0278384,0.0704277,0.1519089,0.1802576,0.1761893,0.0485831,0.0430976,0.0606221,0.0506222
Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,Benin,BEN,0.7983967,0.3745913,0.4032981,0.2612601,0.3183564,0.3643676,0.3011894,0.0271398,-0.013514,-0.0020272,0.0453255
Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,Bermuda,BMU,0.7141891,0.7967862,0.6938406,0.9118381,0.9641221,0.9802537,0.9703031,0.9138978,0.983049,0.9996701,1.009657
Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,Bhutan,BTN,0.4906397,0.7205909,0.803937,0.7422217,0.8264953,0.7763095,0.7846249,1.068039,0.974715,1.123297,1.12759
Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,Bolivia,BOL,-0.2355548,-0.6955554,-0.5074582,-0.4154072,-0.4171265,-0.4580681,-0.3285934,-0.3331121,-0.2684872,-0.2488664,-0.303178
Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,Bosnia and Herzegovina,BIH,-0.5264447,-0.5403688,-0.6666183,-0.6937302,-0.8197949,-0.5381487,-0.4049441,-0.019179,-0.402437,-0.3978388,-0.382096
Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,Botswana,BWA,1.072953,1.032002,0.9527901,0.9912098,1.064447,1.104041,1.102347,1.011847,1.042092,0.99456,1.029
