Series Name,Series Code,Country Name,Country Code,2000,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Rule of Law: Estimate,RL.EST,Afghanistan,AFG,-1.778437,-1.86438,-1.847092,-1.845436,-1.896632,-1.643165,-1.597314,-1.445648,-1.504045,-1.498197,-1.569605
Rule of Law: Estimate,RL.EST,Albania,ALB,-1.00878,-0.5886946,-0.5004299,-0.407376,-0.4553711,-0.5203165,-0.5180176,-0.337862,-0.3282264,-0.3288594,-0.4016947
Rule of Law: Estimate,RL.EST,Algeria,DZA,-1.211336,-0.7414688,-0.7935362,-0.7849475,-0.8076658,-0.7722811,-0.6893736,-0.7731679,-0.86852,-0.862285,-0.8645295
Rule of Law: Estimate,RL.EST,American Samoa,ASM,..,1.127511,1.13165,1.117741,1.098715,1.102443,1.108083,1.410083,1.345253,1.340452,1.357673
Rule of Law: Estimate,RL.EST,Andorra,AND,1.312131,1.196158,1.224501,1.204553,1.407835,1.407764,1.409044,1.641953,1.576003,1.577957,1.601312
Rule of Law: Estimate,RL.EST,Angola,AGO,-1.663307,-1.366982,-1.230835,-1.265287,-1.265381,-1.269548,-1.267904,-1.118136,-1.081934,-1.087322,-1.104189
Rule of Law: Estimate,RL.EST,Anguilla,AIA,..,1.670906,1.400128,1.382129,1.360597,1.364446,1.367896,0.0188626,-0.0392486,-0.0845741,-0.1041571
Rule of Law: Estimate,RL.EST,Antigua and Barbuda,ATG,1.058924,0.946843,0.9790636,0.9592275,0.9494721,0.9515464,0.8378081,-0.1772038,0.5898943,0.5088603,0.4433027
Rule of Law: Estimate,RL.EST,Argentina,ARG,-0.1499227,-0.6766081,-0.6754778,-0.590509,-0.5608934,-0.6796814,-0.7076761,-0.8860345,-0.7708121,-0.3935989,-0.2455678
Rule of Law: Estimate,RL.EST,Armenia,ARM,-0.4785657,-0.3405266,-0.475852,-0.4886399,-0.4409667,-0.4179131,-0.3442122,-0.3659055,-0.3878506,-0.1191191,-0.1555345
Rule of Law: Estimate,RL.EST,Aruba,ABW,..,0.8558134,1.433195,1.422983,1.330821,1.316215,1.299766,1.038312,1.26104,1.261773,1.330975
Rule of Law: Estimate,RL.EST,Australia,AUS,1.751407,1.770851,1.740398,1.764966,1.74258,1.766946,1.778639,1.923105,1.825229,1.755555,1.681816
Rule of Law: Estimate,RL.EST,Austria,AUT,1.842372,1.922995,1.78489,1.8003,1.801555,1.858179,1.851382,1.952464,1.855263,1.815001,1.812447
Rule of Law: Estimate,RL.EST,Azerbaijan,AZE,-1.14998,-0.8324519,-0.8799943,-0.893052,-0.8937066,-0.8345112,-0.7238573,-0.6722394,-0.6736937,-0.5198559,-0.5556177
